Test Name	Language	Components	Gold File	Prediction File	Uploaded Gold File	Uploaded Prediction File	Experiment URI	BertScore F1	BLEU	BLEU NLTK	METEOR	chrF++	TER	Error Count	Timestamp	GERBIL version
QALD10-MT	de	['babelscape_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	a45743c881f441788742da33fbaee226QALD10-MT_de-babelscape_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140402	0.904160163	30.63	0.3	0.37	0.6	0.5	0	2022-10-14 07:25:22	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	2add516a8f7445b59519896857f8bdefQALD10-MT_de-babelscape_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140403	0.9146282794	34.39	0.34	0.39	0.63	0.45	0	2022-10-14 07:25:49	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	d9e7701923a442b5bfc842f5a9f73802QALD10-MT_de-babelscape_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140404	0.9237451233	33.97	0.34	0.4	0.62	0.45	0	2022-10-14 07:26:16	1.2.7
QALD10-MT	de	['babelscape_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mag_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	ef257ebf316f4f4bafbd3457de75ead7QALD10-MT_de-babelscape_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140405	0.9198772328	33.67	0.33	0.39	0.62	0.47	0	2022-10-14 07:26:43	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	a1b55622a3af4739abeebdf3e270d150QALD10-MT_de-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140406	0.9425255568	32.29	0.32	0.39	0.62	0.48	0	2022-10-14 07:27:10	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	abbaf4d9bd8641569b87cd48da429e32QALD10-MT_de-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140407	0.9506121403	35.53	0.35	0.41	0.65	0.43	0	2022-10-14 07:27:37	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	094c30b23e8d4ac7983c7e3b078abdbbQALD10-MT_de-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140408	0.9528197413	35.4	0.35	0.41	0.64	0.44	0	2022-10-14 07:28:04	1.2.7
QALD10-MT	de	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	dd51538b1e24483ab3637f2a8331046eQALD10-MT_de-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140409	0.9462325606	34.88	0.35	0.4	0.64	0.45	0	2022-10-14 07:28:31	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	2dba0da26ef24761b57554ad97a4a157QALD10-MT_de-flair_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140410	0.9137478009	31.32	0.31	0.38	0.6	0.49	0	2022-10-14 07:28:58	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	b7d48ddf18ce4da8a7273823da0d12abQALD10-MT_de-flair_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140411	0.9272025942	34.72	0.34	0.4	0.63	0.44	0	2022-10-14 07:29:25	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	7714c350a2e2473a9c0a56d50017a334QALD10-MT_de-flair_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140412	0.9479123918	34.97	0.35	0.4	0.63	0.44	0	2022-10-14 07:29:52	1.2.7
QALD10-MT	de	['flair_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mag_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	ab8ac5880126432386411f95012586bbQALD10-MT_de-flair_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140413	0.9437826096	34.55	0.34	0.4	0.64	0.46	0	2022-10-14 07:30:20	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	797658e0f1934528b68a71747b26fd44QALD10-MT_de-flair_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140414	0.9425255568	32.29	0.32	0.39	0.62	0.48	0	2022-10-14 07:30:47	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	4b1c0ddc10ec4701b8173bf26359ee5aQALD10-MT_de-flair_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140415	0.9506121403	35.53	0.35	0.41	0.65	0.43	0	2022-10-14 07:31:14	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	92060cd57ff44459af0348a5fc8d0d0eQALD10-MT_de-flair_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140416	0.9528197413	35.4	0.35	0.41	0.64	0.44	0	2022-10-14 07:31:41	1.2.7
QALD10-MT	de	['flair_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-flair_ner-mgenre_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	7f11cbf5e6984148be9104b759366455QALD10-MT_de-flair_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140417	0.9486800155	34.98	0.35	0.4	0.64	0.45	0	2022-10-14 07:32:08	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	cec9d77f4c3f467b83190fc805c828b3QALD10-MT_de-davlan_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140418	0.9425255568	32.29	0.32	0.39	0.62	0.48	0	2022-10-14 07:32:35	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	ccea7998c7c5435dbf99f04121f116b5QALD10-MT_de-davlan_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140419	0.9506121403	35.53	0.35	0.41	0.65	0.43	0	2022-10-14 07:33:03	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	679b134c5c42479fb2ddc2b2da333b74QALD10-MT_de-davlan_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140420	0.9528197413	35.4	0.35	0.41	0.64	0.44	0	2022-10-14 07:33:30	1.2.7
QALD10-MT	de	['davlan_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mag_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	9e4451574e53474b882d4ef93951aafbQALD10-MT_de-davlan_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140421	0.9486800155	34.98	0.35	0.4	0.64	0.45	0	2022-10-14 07:33:57	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	3ea8aacaba3d4d6abe1b38926d4cc597QALD10-MT_de-davlan_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140422	0.9425255568	32.29	0.32	0.39	0.62	0.48	0	2022-10-14 07:34:24	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	d55973b7a5fd4ce1a643d6b62d2b7858QALD10-MT_de-davlan_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140423	0.9506121403	35.53	0.35	0.41	0.65	0.43	0	2022-10-14 07:34:51	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	98585f7d76fb47518d246e3a298eca26QALD10-MT_de-davlan_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140424	0.9528197413	35.4	0.35	0.41	0.64	0.44	0	2022-10-14 07:35:18	1.2.7
QALD10-MT	de	['davlan_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-davlan_ner-mgenre_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	de098552a6654d4e8179653119b82802QALD10-MT_de-davlan_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140425	0.9486800155	34.98	0.35	0.4	0.64	0.45	0	2022-10-14 07:35:46	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	8b20870c7c4847869ec84a1685df93f7QALD10-MT_de-spacy_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140426	0.9425255568	32.29	0.32	0.39	0.62	0.48	0	2022-10-14 07:36:13	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	24efdd27dacf4a1ba4448e09d219f416QALD10-MT_de-spacy_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140427	0.9338392045	35	0.35	0.4	0.64	0.44	0	2022-10-14 07:36:40	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	b7d75156ca2a4b3abb6ccdd92120f84aQALD10-MT_de-spacy_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140428	0.9528197413	35.4	0.35	0.41	0.64	0.44	0	2022-10-14 07:37:07	1.2.7
QALD10-MT	de	['spacy_ner', 'mag_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mag_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	242403eddeaf411b8410e0e176058e34QALD10-MT_de-spacy_ner-mag_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140429	0.9486800155	34.98	0.35	0.4	0.64	0.45	0	2022-10-14 07:37:34	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-libre_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	829ed0564a1148c79410a7bb9ed7ef57QALD10-MT_de-spacy_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140430	0.9425255568	32.29	0.32	0.39	0.62	0.48	0	2022-10-14 07:38:01	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-opus_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	34ad448707f24bfe8b1eee5cceb3720dQALD10-MT_de-spacy_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140431	0.9506121403	35.53	0.35	0.41	0.65	0.43	0	2022-10-14 07:38:28	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-nllb_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	1122c4e4a8754d29a5ef13d9a042751aQALD10-MT_de-spacy_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140432	0.9528197413	35.4	0.35	0.41	0.64	0.44	0	2022-10-14 07:38:56	1.2.7
QALD10-MT	de	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_de-en_gold_file	pred_results/QALD10-MT_de-spacy_ner-mgenre_el-mbart_mt	4800eb55f4854f95a90f196543c65d2bQALD10-MT_de-en_gold_file.txt	8bba0b5600f24c1a813b28d4f63a1202QALD10-MT_de-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140433	0.9486800155	34.98	0.35	0.4	0.64	0.45	0	2022-10-14 07:39:23	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	873ab860a14940e4a19d4a6742214acbQALD10-MT_ru-babelscape_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140434	0.9195665402	20.78	0.21	0.3	0.51	0.6	0	2022-10-14 07:39:50	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	86dc076c3ce040a19a78977a4f450214QALD10-MT_ru-babelscape_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140435	0.936861855	26.14	0.26	0.35	0.57	0.53	0	2022-10-14 07:40:17	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	2ea2662f94ac44398dbb90797f4e84a0QALD10-MT_ru-babelscape_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140436	0.9483591416	33.53	0.34	0.39	0.61	0.46	0	2022-10-14 07:40:44	1.2.7
QALD10-MT	ru	['babelscape_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	941cad3c96d04fdebe1a40bd0725cdcdQALD10-MT_ru-babelscape_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140437	0.9370992948	27.51	0.27	0.36	0.58	0.53	0	2022-10-14 07:41:10	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'libre_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-libre_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	9b3dcbaa3abe408597873fed890626c4QALD10-MT_ru-spacy_ner-mgenre_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140438	0.9195665402	20.78	0.21	0.3	0.51	0.6	0	2022-10-14 07:41:37	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'opus_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-opus_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	38d3df2f8d814e15be21c9e28615849dQALD10-MT_ru-spacy_ner-mgenre_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140439	0.936861855	26.14	0.26	0.35	0.57	0.53	0	2022-10-14 07:42:03	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'nllb_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	5180409c3cad45eb90413ed7c862d182QALD10-MT_ru-spacy_ner-mgenre_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140440	0.9483591416	33.53	0.34	0.39	0.61	0.46	0	2022-10-14 07:42:31	1.2.7
QALD10-MT	ru	['spacy_ner', 'mgenre_el', 'mbart_mt']	QALD10-MT_ru-en_gold_file	pred_results/QALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt	1c5425b63c5e41739f52eade11b17c76QALD10-MT_ru-en_gold_file.txt	70e37ecab85940508784b6b940cfd573QALD10-MT_ru-spacy_ner-mgenre_el-mbart_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140441	0.9370992948	27.51	0.27	0.36	0.58	0.53	0	2022-10-14 07:42:58	1.2.7
QALD9PlusTest-MT	de	['babelscape_ner', 'mag_el', 'libre_mt']	QALD9Plus-MT_de-en_gold_file	pred_results/QALD9Plus-MT_de-babelscape_ner-mag_el-libre_mt	521be14e2cce4ff0a01aee2ecb45e1e4QALD9Plus-MT_de-en_gold_file.txt	c7b5d89321b348e5a8c3d0e8fed72ca0QALD9Plus-MT_de-babelscape_ner-mag_el-libre_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140442	0.9568915057	43.81	0.43	0.4	0.69	0.4	0	2022-10-14 07:43:24	1.2.7
QALD9PlusTest-MT	de	['babelscape_ner', 'mag_el', 'opus_mt']	QALD9Plus-MT_de-en_gold_file	pred_results/QALD9Plus-MT_de-babelscape_ner-mag_el-opus_mt	521be14e2cce4ff0a01aee2ecb45e1e4QALD9Plus-MT_de-en_gold_file.txt	270c844981c14afaa5c480255b29e192QALD9Plus-MT_de-babelscape_ner-mag_el-opus_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140443	0.9622260527	45.64	0.46	0.42	0.71	0.37	0	2022-10-14 07:43:40	1.2.7
QALD9PlusTest-MT	de	['babelscape_ner', 'mag_el', 'nllb_mt']	QALD9Plus-MT_de-en_gold_file	pred_results/QALD9Plus-MT_de-babelscape_ner-mag_el-nllb_mt	521be14e2cce4ff0a01aee2ecb45e1e4QALD9Plus-MT_de-en_gold_file.txt	17673236e86b4c4ebc7e00cafcb9af6dQALD9Plus-MT_de-babelscape_ner-mag_el-nllb_mt.txt	https://beng.dice-research.org/gerbil/experiment?id=202210140444	0.9659729103	48.49	0.49	0.43	0.72	0.34	0	2022-10-14 07:43:56	1.2.7
